seed,method,epoch,remaining_accuracy,forget_accuracy,testing_accuracy,SVC_MIA_forget_correctness,SVC_MIA_forget_confidence,SVC_MIA_forget_entropy,SVC_MIA_forget_m_entropy,SVC_MIA_forget_prob,unlearn_time_ms,wasserstein_dist,activation_distance_forget,activation_distance_test,wasserstein_dist_retrain,activation_distance_retrain,param_epochs_for_unlearning,param_learning_rate_for_unlearning,param_alpha,param_arch,param_dataset,param_lr,param_epochs_train,param_forgetting_data_amount,class_to_forget,ra_gap,ua_gap,test_gap,mia_confidence_gap,average_gap,run_time_efficiency
100,FT,2,94.95555555630908,6.111111114925809,91.92222222222222,0.9388888888888889,0.9933333333333333,0.8644444444444445,1.0,0.8664444444444445,19736.3498210907,1.0203240984780484,0.6726301312446594,,1.618113204566236,0.6209548115730286,10.0,0.01,0.5,resnet18,cifar10,0.1,18,,3,34.345679015359764,6.111111114925809,32.26666666666666,0.00666666666666671,18.182530865904724,1.0029869607486277
100,FT,4,97.87901234643253,3.7111111120647853,92.56666666666666,0.9628888888888889,0.994,0.7315555555555555,0.0,0.9002222222222223,33545.77589035034,1.0518856870770859,0.7410421967506409,,1.5690534716645772,0.5646844506263733,10.0,0.01,0.5,resnet18,cifar10,0.1,18,,3,25.264197533878274,3.7111111120647853,25.733333333333334,0.006000000000000005,13.678660494819098,1.0033558798888274
100,FT,6,99.44691358024691,2.1333333337571885,92.65555555555555,0.9786666666666667,0.9984444444444445,0.6753333333333333,1.0,0.5668888888888889,47257.98010826111,1.0656938393827098,0.7618021965026855,,1.5405381135638034,0.5755172371864319,10.0,0.01,0.5,resnet18,cifar10,0.1,18,,3,9.350617286211175,2.1333333337571885,16.811111111111103,0.0015555555555555323,7.074154321658756,1.0023128542151074
100,FT,8,99.87407407407407,1.3555555560323926,92.68888888888888,0.9864444444444445,0.9995555555555555,0.6284444444444445,1.0,0.526888888888889,60945.07455825806,1.1040175576885967,0.7924107909202576,,1.5109371653461305,0.5800850987434387,10.0,0.01,0.5,resnet18,cifar10,0.1,18,,3,4.767901233814385,1.3555555560323926,17.311111111111103,0.0004444444444444695,5.858753086350581,1.0012289607103653
100,FT,10,99.98518518518519,1.0888888888888888,92.65555555555555,0.9891111111111112,1.0,0.612,1.0,0.5231111111111111,74721.29678726196,1.1310255246918637,0.8123628497123718,,1.5244403022782171,0.5836507081985474,10.0,0.01,0.5,resnet18,cifar10,0.1,18,,3,0.012345679012341293,1.0888888888888888,11.48888888888888,0.0,3.1475308641975275,1.000663264959792
100,GA,2,81.5358024616006,10.60000001695421,79.28888888888889,0.894,0.9455555555555556,0.6693333333333333,0.9997777777777778,0.6946666666666667,2279.0887355804443,1.0620995502321298,0.07315860688686371,,1.6847242777785958,0.8224523663520813,5.0,0.0001,0.5,resnet18,cifar10,0.1,18,,3,20.92592592065128,10.60000001695421,19.633333333333333,0.054444444444444406,12.803425928845817,0.1158216339342295
100,GA,4,79.86419752558956,7.844444439358181,78.14444444444445,0.9215555555555556,0.9524444444444444,0.45533333333333337,0.9997777777777778,0.5937777777777777,3803.3738136291504,1.1052144689328132,0.1358449012041092,,1.6665585034030685,0.8517952561378479,5.0,0.0001,0.5,resnet18,cifar10,0.1,18,,3,7.249382713035303,7.844444439358181,11.311111111111117,0.04755555555555557,6.613123454765039,0.11375910611796991
100,wfisher,10,11.111111111299492,0.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,12246.958494186401,164.2273470420048,1.1136829853057861,,163.2681671750477,0.8160975575447083,,,0.5,resnet18,cifar10,0.1,18,,3,88.86172839487335,0.0,70.05555555555556,1.0,39.979320987607224,0.16401055655539418
100,retrain,2,60.609876540949315,0.0,59.65555555555556,1.0,1.0,0.6188888888888888,0.004222222222222238,0.7188888888888889,19677.573680877686,1.884302856372123,0.5548534989356995,,0.0,0.0,10.0,0.01,0.5,resnet18,cifar10,0.1,18,,3,,,,,,
100,retrain,4,72.61481481255426,0.0,66.83333333333333,1.0,1.0,0.7551111111111111,1.0,0.8326666666666667,33433.576822280884,1.9048916618849294,0.638511061668396,,0.0,0.0,10.0,0.01,0.5,resnet18,cifar10,0.1,18,,3,,,,,,
100,retrain,6,90.09629629403574,0.0,75.84444444444445,1.0,1.0,0.6911111111111111,0.9731111111111111,0.5942222222222222,47148.9315032959,2.498228281366731,0.7195737361907959,,0.0,0.0,10.0,0.01,0.5,resnet18,cifar10,0.1,18,,3,,,,,,
100,retrain,8,95.10617284025969,0.0,75.37777777777778,1.0,1.0,0.5442222222222222,0.09044444444444444,0.832,60870.267391204834,2.812865753820598,0.778269350528717,,0.0,0.0,10.0,0.01,0.5,resnet18,cifar10,0.1,18,,3,,,,,,
100,retrain,10,99.97283950617285,0.0,81.16666666666667,1.0,1.0,0.7111111111111111,0.04977777777777781,0.5255555555555556,74671.76961898804,2.977992992880378,0.8062392473220825,,0.0,0.0,10.0,0.01,0.5,resnet18,cifar10,0.1,18,,3,,,,,,
