seed,method,epoch,remaining_accuracy,forget_accuracy,testing_accuracy,SVC_MIA_forget_correctness,SVC_MIA_forget_confidence,SVC_MIA_forget_entropy,SVC_MIA_forget_m_entropy,SVC_MIA_forget_prob,unlearn_time_ms,wasserstein_dist,activation_distance_forget,activation_distance_test,wasserstein_dist_retrain,activation_distance_retrain,param_epochs_for_unlearning,param_learning_rate_for_unlearning,param_alpha,param_arch,param_dataset,param_lr,param_epochs_train,param_forgetting_data_amount,class_to_forget,ra_gap,ua_gap,test_gap,mia_confidence_gap,average_gap,run_time_efficiency
100,FT,2,92.56161612709123,91.33333332655165,88.36,0.08666666666666667,0.12602469135802474,0.3462716049382716,0.47644444444444445,0.5,12024.09553527832,1.2450477882652067,0.13592694699764252,,1.554954390275429,0.535420835018158,10.0,0.01,0.5,resnet18,cifar10,0.1,18,20250,,44.76767673161054,44.31604937744141,41.25,0.23125925925925916,32.6412463420778,0.9988786145508368
100,FT,4,96.01212119485875,91.96543209951895,89.04,0.08034567901234568,0.1272592592592593,0.24212345679012348,0.4295802469135802,0.2853827160493827,20389.45770263672,1.2751206769965984,0.18192611634731293,,1.5602931529866075,0.39704281091690063,10.0,0.01,0.5,resnet18,cifar10,0.1,18,20250,,30.70303031166155,34.77530864649643,30.790000000000006,0.3073086419753086,24.143911900033324,0.9996698805609611
100,FT,6,98.33131310295336,92.09382715446566,89.33,0.07906172839506176,0.12795061728395063,0.18987654320987657,0.4129876543209876,0.17520987654320985,28775.26330947876,1.3046398638400463,0.19814132153987885,,1.5783183835485344,0.39904648065567017,10.0,0.01,0.5,resnet18,cifar10,0.1,18,20250,,16.799999967941133,29.135802465368194,27.04,0.27748148148148144,18.313320978697703,1.0011856064372282
100,FT,8,99.53131313131313,92.12345679087697,89.16,0.07876543209876541,0.13674074074074072,0.17451851851851852,0.38997530864197527,0.15066666666666662,37157.17911720276,1.3231592011938471,0.208329975605011,,1.6068953148401468,0.4095757007598877,10.0,0.01,0.5,resnet18,cifar10,0.1,18,20250,,2.7030303202927684,26.08888889190297,23.189999999999998,0.30414814814814817,13.071516840085971,1.0013053523423026
100,FT,10,99.9070707070707,91.94074073395906,89.21,0.08059259259259255,0.16167901234567905,0.1678518518518518,0.40740740740740744,0.14622222222222225,45483.5319519043,1.3596659494906072,0.21468663215637207,,1.6422656335762984,0.4114828407764435,10.0,0.01,0.5,resnet18,cifar10,0.1,18,20250,,0.044444458624326444,23.303703699936108,21.0,0.3653333333333333,11.178370372973442,0.9981515818029474
100,GA,2,86.65050502091225,86.49382715295862,83.34,0.1350617283950617,0.16972839506172843,0.421037037037037,0.4866172839506173,0.4918518518518519,9977.850675582886,1.2231065198670212,0.038880445063114166,,1.562061784687198,0.5329774618148804,5.0,0.0001,0.5,resnet18,cifar10,0.1,18,20250,,38.856565625431564,39.47654320384837,36.230000000000004,0.18755555555555548,28.687666096208876,0.8288907577105895
100,GA,4,82.55757573908025,82.30617283423153,80.45,0.17693827160493825,0.22024691358024695,0.42967901234567907,0.5111604938271606,0.5090864197530864,16941.929578781128,1.2483233438528125,0.062047407031059265,,1.5973288381852488,0.41493505239486694,5.0,0.0001,0.5,resnet18,cifar10,0.1,18,20250,,17.24848485588305,25.11604938120901,22.200000000000003,0.21432098765432095,16.194713806186595,0.8306418427353355
100,wfisher,10,79.53131309555516,78.9185185139974,77.07,0.2108148148148148,0.2497283950617284,0.40360493827160493,0.5101728395061729,0.6262716049382716,12199.931144714355,1.2628118339595487,0.20925791561603546,,1.5354039422386145,0.5638746023178101,,,0.5,resnet18,cifar10,0.1,18,20250,,20.331313152891212,10.281481479974445,8.86,0.27728395061728395,9.937519645870735,0.26773163928563015
100,retrain,2,47.793939395480685,47.017283949110244,47.11,0.5298271604938272,0.3572839506172839,0.7800987654320988,0.5737777777777777,0.5533333333333333,12037.594318389893,1.240907095989454,0.5288119912147522,,0.0,0.0,10.0,0.01,0.5,resnet18,cifar10,0.1,18,20250,,,,,,,
100,retrain,4,65.3090908831972,57.19012345302252,58.25,0.4280987654320988,0.4345679012345679,0.5661728395061729,0.5755061728395061,0.6976790123456791,20396.190881729126,1.5894703642502543,0.6335346102714539,,0.0,0.0,10.0,0.01,0.5,resnet18,cifar10,0.1,18,20250,,,,,,,
100,retrain,6,81.53131313501223,62.95802468909746,62.29,0.3704197530864197,0.40543209876543207,0.5597037037037037,0.4809382716049383,0.459604938271605,28741.187572479248,1.998704409790105,0.7437896728515625,,0.0,0.0,10.0,0.01,0.5,resnet18,cifar10,0.1,18,20250,,,,,,,
100,retrain,8,96.82828281102036,66.034567898974,65.97,0.33965432098765436,0.4408888888888889,0.48271604938271606,0.4433086419753086,0.5100740740740741,37108.739137649536,2.961628506037384,0.8158667087554932,,0.0,0.0,10.0,0.01,0.5,resnet18,cifar10,0.1,18,20250,,,,,,,
100,retrain,10,99.86262624844638,68.63703703402295,68.21,0.3136296296296296,0.5270123456790123,0.5239012345679013,0.4804938271604938,0.42572839506172844,45567.76022911072,3.022578898761532,0.8457782864570618,,0.0,0.0,10.0,0.01,0.5,resnet18,cifar10,0.1,18,20250,,,,,,,
